Date,Value (12m Rev) (LO),Momentum (12-1) (LO),Quality (Sharpe) (LO),Low Volatility (LO),Composite (LO),CTA,LO+CTA,AvgLO+CTA,SPY_BH
2023-08-01,1.047332087017888,1.6297584128677447,1.3671753507153384,1.5898605389186926,1.404636581788678,0.9744477829171972,1.239953946064665,1.2465865439799149,2.9674547631757107
2023-08-02,1.0326086325061181,1.6018487051144257,1.3457174639477432,1.577545448389035,1.3982909654583686,0.9677400283584191,1.2331787984445337,1.234307073548329,2.9261749448071575
2023-08-03,1.0370984571086752,1.5979175363631641,1.3416422427169519,1.57129148682711,1.3877318313898526,0.970904514035806,1.229204405984326,1.2340478253100267,2.9177889927312144
2023-08-04,1.0264496264175857,1.594374890970863,1.3393753843065188,1.5644240916275163,1.378779203797372,0.9692442080037873,1.2236056451600297,1.2295021006768396,2.904592281728657
2023-08-07,1.0268841028804772,1.6060791323956065,1.3503168118387943,1.5790015889983782,1.3906933838298676,0.9700012606478662,1.2303319215155157,1.234886745724754,2.929945345878527
2023-08-08,1.0187007740165388,1.5978016749348727,1.34135799570292,1.5734703603054148,1.38851664568036,0.9671105332402627,1.2277098606175738,1.2297358621907981,2.9172041883057913
2023-08-09,1.0219100703459219,1.5935889436425228,1.3326607393013616,1.5712491625498752,1.3878018822223877,0.9672011268405495,1.2273766714670993,1.2286166611916696,2.8977018312674296
2023-08-10,1.0237610901824572,1.5954744036617337,1.3337996891851371,1.5713508912990357,1.3860584925741737,0.9667985927963637,1.2262472296301665,1.2288039567680586,2.898741984287499
2023-08-11,1.011350905160316,1.5921546059248515,1.3299918796598467,1.5713544201974483,1.388975500038065,0.9659955733907944,1.2273882305489843,1.2261910808557328,2.897051684421092
2023-08-14,1.0054128673825529,1.5947423060906376,1.3339559537498518,1.5700174319772418,1.3869717812503177,0.9658018865504098,1.226227422608946,1.2255690527758727,2.9130435762255136
2023-08-15,0.991888402657972,1.5740932358883828,1.3182514013725481,1.5522654344639035,1.3721251262131098,0.9595046807373802,1.21515373828692,1.2135215159520878,2.879109556912834
2023-08-16,0.9810775791638354,1.5613892800670686,1.307190448091066,1.5442777655292048,1.36531028438972,0.957113792703181,1.2103214396189086,1.2068550691267574,2.8579820375938048
2023-08-17,0.9820708991445499,1.5524900761460274,1.2950689252423009,1.5327733811166036,1.3551112468898006,0.9577990408788435,1.205243301824716,1.203018236919295,2.8362047810987887
2023-08-18,0.9725636595596189,1.5550981255616547,1.296085686570058,1.534385549597549,1.358019960411041,0.9563593678435731,1.2060708740365986,1.2017149539148455,2.8375700075420265
2023-08-21,0.9693344823403143,1.5629535224184383,1.3046985855324775,1.5349727444804024,1.3558152115189892,0.9590715174222195,1.2062641621654537,1.2041071332321946,2.8560320067251435
2023-08-22,0.969022896068296,1.5597184742241779,1.3032632909897301,1.5293513467021462,1.353158196303265,0.957347106099238,1.2039782541938502,1.2019243320597084,2.8482962014955375
2023-08-23,0.9798671036786988,1.5754335757602997,1.3180497155706368,1.5420512238251398,1.3636819690769633,0.9494560882816638,1.2056268384071294,1.2049846461809557,2.8800196395966005
2023-08-24,0.9780564817806988,1.5530118620420736,1.2975805462969545,1.5263457499824733,1.3507599985564311,0.9499585725971449,1.1990274983073246,1.197826128988726,2.840105047671285
2023-08-25,0.9802087577576637,1.565347336079578,1.308050405884461,1.5363594921979462,1.3597755203826822,0.9524632755413907,1.2050937403893158,1.2036096277225274,2.8601274812196817
2023-08-28,0.9918904966465484,1.5790642786301374,1.3178956218317355,1.545766904089826,1.3664068456007379,0.9513663503590074,1.208064777136048,1.2087179638676973,2.878264816649981
2023-08-29,1.006212371113272,1.5986443345102355,1.336919630418434,1.5602918045488468,1.3779750256566903,0.9478802808244907,1.2124306848664468,1.2155238679677776,2.919869298771353
2023-08-30,1.003315619142612,1.6034884609319369,1.341540012473402,1.5620249733722549,1.3794696082544418,0.9482710111397163,1.2134196153303882,1.2165706877728761,2.9318957864175386
2023-08-31,0.9936652250382627,1.6022571842925961,1.342277462586605,1.553006319693007,1.3706235460695577,0.9515708599227568,1.2104398821195317,1.2150489778639537,2.9276048991657837
2023-09-01,1.0040683581191128,1.6069432740162521,1.3448388318230717,1.5546034784261114,1.3686054552172797,0.9556243962664223,1.2114330496224313,1.2192857843184484,2.9330658049387357
2023-09-05,0.9906286422920111,1.596485757497364,1.3406266486708116,1.5390203165970382,1.3566205852749276,0.9612123562806347,1.2079014570593274,1.216020857849549,2.9203893752813883
2023-09-06,0.9910694305488024,1.5895355712638024,1.3331990581264352,1.5339077220300181,1.3510003111236468,0.9637597632046666,1.2061794382484685,1.2148418508164458,2.9007567430715486
2023-09-07,0.9790920571779078,1.5813248172765113,1.3289937655995834,1.533281729438139,1.352480466574703,0.9662667874549108,1.2082273839173385,1.2132314644989715,2.8918513289910965
2023-09-08,0.9781751883379407,1.5801259524420865,1.3280384532447278,1.5331597206772505,1.352128674743476,0.9679387614848427,1.2088750813486857,1.2136703708861336,2.89620653448789
2023-09-11,0.9884005932138439,1.5903687295710216,1.34007280853626,1.5424914949670212,1.3611959044453485,0.962812998398803,1.2111783723751095,1.2167489568908885,2.915254157437131
