Date,SPY 1.0x (Baseline),Fixed 1.5x (全仓杠杆),Fixed 2.0x (全仓杠杆),Fixed 3.0x (全仓杠杆),UPRO 3x (真实ETF),SSO 2x (真实ETF),Naive Dip 2x (无风控),Anti-Blowup 2x (完整风控),Anti-Blowup 2.5x (激进风控),Kelly半凯利 2.5x,阶梯加仓法 (最推荐)
2016-04-05,1.1675685557586835,1.2406001835741451,1.3034741304840207,1.391029546069002,1.3332520301781117,1.2638100047327827,1.3446452311539419,1.1473403927051675,1.1473403927051675,1.1705029546817567,1.2566684883570851
2016-04-06,1.1803194403904154,1.260922865788613,1.3319443186820044,1.4366033768486368,1.374741443693409,1.290307064520583,1.3593299502040463,1.15360538027637,1.15360538027637,1.183319241457963,1.2703924233126322
2016-04-07,1.1661962627829923,1.2382914022541696,1.300069411716612,1.3850341051370414,1.3268028985436093,1.2593939755652084,1.3430648124312827,1.1467036157552615,1.1467036157552615,1.169140539026675,1.2551914724415407
2016-04-08,1.169341403837586,1.2433007663523095,1.3070817848670004,1.3962400944677313,1.3373363510239606,1.2672223689709736,1.3466869542742668,1.1482499012024279,1.1482499012024279,1.172300508874179,1.2585766266881604
2016-04-11,1.1665968178862036,1.2389235000482068,1.3009460262386296,1.3864086604602037,1.3270178695980928,1.2603976404945914,1.3435261168289483,1.1469023603827948,1.1469023603827948,1.1695450178981788,1.2556225948570714
2016-04-12,1.1774610685224727,1.2562302188956953,1.3251768547075846,1.4251425853447894,1.3652831048641458,1.284686283524807,1.3560380697554535,1.152242780700889,1.152242780700889,1.1804481215424973,1.2673159222911432
2016-04-13,1.1893545132861187,1.2752638478431142,1.3519478760939718,1.4683283561670568,1.4052672042407168,1.309576980730085,1.369735307236329,1.1580621390783905,1.1580621390783905,1.1923767397683045,1.28011698410355
2016-04-14,1.1894114574531822,1.2753554338716577,1.3520773337869598,1.4685392589742947,1.406342317891805,1.3097777458898654,1.3698008877132153,1.1580898620504654,1.1580898620504654,1.1924332806185947,1.2801782738153973
2016-04-15,1.1880964158972545,1.273240338985515,1.3490875561627138,1.4636683033265387,1.3998933154466384,1.3061646164918939,1.3682864033189364,1.1574496562223846,1.1574496562223846,1.191111730398699,1.2787628783115843
2016-04-18,1.196444881426062,1.2866604658426612,1.3680469786595186,1.494522830482153,1.4306341762377657,1.324832237222055,1.3779010202126483,1.1615162153109435,1.1615162153109435,1.1994962109928176,1.2877484350949038
