entry_date,exit_date,entry_price,exit_price,position,action,entry_capital,exit_capital,pnl,return_pct,holding_days
2022-07-22,2022-07-27,376.5,382.17,1.2,BUY DIP 1.20x,1446277.0,1472225.0,25947.0,1.79,5
2022-07-27,2022-07-28,382.17,386.97,1.4,BUY DIP 1.40x,1472225.0,1497986.0,25762.0,1.75,1
2022-07-28,2022-07-29,386.97,392.61,1.2,BUY DIP 1.20x,1497986.0,1524102.0,26115.0,1.74,1
2022-07-29,2022-08-01,392.61,391.45,1.0,HOLD 1.00x,1524102.0,1519565.0,-4537.0,-0.3,3
2022-08-01,2022-08-02,391.45,388.86,0.95,HOLD 0.95x,1519565.0,1510019.0,-9546.0,-0.63,1
2022-08-02,2022-08-04,388.86,394.69,1.0,HOLD 1.00x,1510019.0,1532606.0,22587.0,1.5,2
2022-08-04,2022-08-10,394.69,400.23,0.95,HOLD 0.95x,1532606.0,1553052.0,20446.0,1.33,6
2022-08-10,2022-08-11,400.23,400.23,1.0,HOLD 1.00x,1553052.0,1553028.0,-23.0,-0.0,1
2022-08-11,2022-08-22,400.23,393.9,0.95,HOLD 0.95x,1553028.0,1529707.0,-23322.0,-1.5,11
2022-08-22,2022-08-23,393.9,392.95,1.0,HOLD 1.00x,1529707.0,1525914.0,-3792.0,-0.25,1
2022-08-23,2022-08-26,392.95,386.24,1.2,BUY DIP 1.20x,1525914.0,1494363.0,-31552.0,-2.07,3
2022-08-26,2022-08-29,386.24,383.69,1.0,HOLD 1.00x,1494363.0,1484304.0,-10059.0,-0.67,3
2022-08-29,2022-09-13,383.69,374.61,1.4,BUY DIP 1.40x,1484304.0,1434039.0,-50264.0,-3.39,15
2022-09-13,2022-09-14,374.61,376.04,1.2,BUY DIP 1.20x,1434039.0,1440519.0,6480.0,0.45,1
2022-09-14,2022-09-21,376.04,361.11,1.4,BUY DIP 1.40x,1440519.0,1360779.0,-79740.0,-5.54,7
2022-09-21,2022-10-31,361.11,369.55,1.6,BUY DIP 1.60x,1360779.0,1406591.0,45812.0,3.37,40
2022-10-31,2022-11-03,369.55,355.01,1.4,BUY DIP 1.40x,1406591.0,1329332.0,-77259.0,-5.49,3
2022-11-03,2022-11-07,355.01,363.56,1.6,BUY DIP 1.60x,1329332.0,1380677.0,51345.0,3.86,4
2022-11-07,2022-11-11,363.56,381.32,1.4,BUY DIP 1.40x,1380677.0,1474547.0,93870.0,6.8,4
2022-11-11,2022-11-14,381.32,378.08,1.2,BUY DIP 1.20x,1474547.0,1459407.0,-15140.0,-1.03,3
2022-11-14,2022-11-15,378.08,381.3,1.0,HOLD 1.00x,1459407.0,1471766.0,12359.0,0.85,1
2022-11-15,2022-11-16,381.3,378.39,1.2,BUY DIP 1.20x,1471766.0,1458205.0,-13561.0,-0.92,1
2022-11-16,2022-11-17,378.39,377.24,1.0,HOLD 1.00x,1458205.0,1453656.0,-4549.0,-0.31,1
