date,level,leverage,action,close,reason
2022-07-18,0,1.0,EMERGENCY_EXIT,363.9818420410156,组合亏损-24.0%，紧急去杠杆
2022-07-19,0,1.0,EMERGENCY_EXIT,373.81640625,组合亏损-21.9%，紧急去杠杆
2022-07-20,0,1.0,EMERGENCY_EXIT,376.1986999511719,组合亏损-21.4%，紧急去杠杆
2022-07-21,0,1.0,EMERGENCY_EXIT,380.0296325683594,组合亏损-20.6%，紧急去杠杆
2022-07-22,0,1.0,EMERGENCY_EXIT,376.503662109375,组合亏损-21.4%，紧急去杠杆
2022-07-25,0,1.0,EMERGENCY_EXIT,376.96112060546875,组合亏损-21.3%，紧急去杠杆
2022-07-26,0,1.0,EMERGENCY_EXIT,372.50128173828125,组合亏损-22.2%，紧急去杠杆
2022-07-27,0,1.0,EMERGENCY_EXIT,382.17376708984375,组合亏损-20.2%，紧急去杠杆
2022-08-30,0,1.0,EMERGENCY_EXIT,379.4769287109375,组合亏损-20.7%，紧急去杠杆
2022-08-31,0,1.0,EMERGENCY_EXIT,376.5894470214844,组合亏损-21.3%，紧急去杠杆
2022-09-01,0,1.0,EMERGENCY_EXIT,377.7711486816406,组合亏损-21.1%，紧急去杠杆
2022-09-02,0,1.0,EMERGENCY_EXIT,373.787841796875,组合亏损-21.9%，紧急去杠杆
2022-09-06,0,1.0,EMERGENCY_EXIT,372.37738037109375,组合亏损-22.2%，紧急去杠杆
2022-09-07,0,1.0,EMERGENCY_EXIT,379.067138671875,组合亏损-20.8%，紧急去杠杆
2022-09-08,0,1.0,EMERGENCY_EXIT,381.5447998046875,组合亏损-20.3%，紧急去杠杆
2022-09-13,0,1.0,EMERGENCY_EXIT,374.6072692871094,组合亏损-21.8%，紧急去杠杆
2022-09-14,0,1.0,EMERGENCY_EXIT,376.0367431640625,组合亏损-21.5%，紧急去杠杆
2022-09-15,0,1.0,EMERGENCY_EXIT,371.76751708984375,组合亏损-22.4%，紧急去杠杆
2022-09-16,0,1.0,EMERGENCY_EXIT,368.9313659667969,组合亏损-22.9%，紧急去杠杆
2022-09-19,0,1.0,EMERGENCY_EXIT,371.7923889160156,组合亏损-22.3%，紧急去杠杆
2022-09-20,0,1.0,EMERGENCY_EXIT,367.5247802734375,组合亏损-23.2%，紧急去杠杆
2022-09-21,0,1.0,EMERGENCY_EXIT,361.1136779785156,组合亏损-24.6%，紧急去杠杆
2022-09-22,0,1.0,EMERGENCY_EXIT,358.0804138183594,组合亏损-25.2%，紧急去杠杆
2022-09-23,0,1.0,EMERGENCY_EXIT,352.080810546875,组合亏损-26.5%，紧急去杠杆
2022-09-26,0,1.0,EMERGENCY_EXIT,348.5978088378906,组合亏损-27.2%，紧急去杠杆
2022-09-27,0,1.0,EMERGENCY_EXIT,347.7079772949219,组合亏损-27.4%，紧急去杠杆
2022-09-28,0,1.0,EMERGENCY_EXIT,354.549560546875,组合亏损-25.9%，紧急去杠杆
2022-09-29,0,1.0,EMERGENCY_EXIT,347.1434020996094,组合亏损-27.5%，紧急去杠杆
2022-09-30,0,1.0,EMERGENCY_EXIT,341.7752990722656,组合亏损-28.6%，紧急去杠杆
2022-10-03,0,1.0,EMERGENCY_EXIT,350.798583984375,组合亏损-26.7%，紧急去杠杆
2022-10-04,0,1.0,EMERGENCY_EXIT,361.668701171875,组合亏损-24.5%，紧急去杠杆
2022-10-05,0,1.0,EMERGENCY_EXIT,360.8266296386719,组合亏损-24.6%，紧急去杠杆
2022-10-06,0,1.0,EMERGENCY_EXIT,357.1044006347656,组合亏损-25.4%，紧急去杠杆
2022-10-07,0,1.0,EMERGENCY_EXIT,347.1434020996094,组合亏损-27.5%，紧急去杠杆
2022-10-10,0,1.0,EMERGENCY_EXIT,344.4928283691406,组合亏损-28.0%，紧急去杠杆
2022-10-11,0,1.0,EMERGENCY_EXIT,342.3111877441406,组合亏损-28.5%，紧急去杠杆
2022-10-12,0,1.0,EMERGENCY_EXIT,341.1820373535156,组合亏损-28.7%，紧急去杠杆
2022-10-13,0,1.0,EMERGENCY_EXIT,350.18621826171875,组合亏损-26.9%，紧急去杠杆
2022-10-14,0,1.0,EMERGENCY_EXIT,342.2059631347656,组合亏损-28.5%，紧急去杠杆
2022-10-17,0,1.0,EMERGENCY_EXIT,350.99957275390625,组合亏损-26.7%，紧急去杠杆
2022-10-18,0,1.0,EMERGENCY_EXIT,355.1236572265625,组合亏损-25.8%，紧急去杠杆
2022-10-19,0,1.0,EMERGENCY_EXIT,352.6070556640625,组合亏损-26.4%，紧急去杠杆
2022-10-20,0,1.0,EMERGENCY_EXIT,349.65032958984375,组合亏损-27.0%，紧急去杠杆
2022-10-21,0,1.0,EMERGENCY_EXIT,358.1474304199219,组合亏损-25.2%，紧急去杠杆
2022-10-24,0,1.0,EMERGENCY_EXIT,362.52984619140625,组合亏损-24.3%，紧急去杠杆
2022-10-25,0,1.0,EMERGENCY_EXIT,368.3189697265625,组合亏损-23.1%，紧急去杠杆
2022-10-26,0,1.0,EMERGENCY_EXIT,365.54400634765625,组合亏损-23.7%，紧急去杠杆
2022-10-27,0,1.0,EMERGENCY_EXIT,363.59197998046875,组合亏损-24.1%，紧急去杠杆
2022-10-28,0,1.0,EMERGENCY_EXIT,372.2420654296875,组合亏损-22.3%，紧急去杠杆
2022-10-31,0,1.0,EMERGENCY_EXIT,369.55322265625,组合亏损-22.8%，紧急去杠杆
2022-11-01,0,1.0,EMERGENCY_EXIT,367.9361267089844,组合亏损-23.2%，紧急去杠杆
2022-11-02,0,1.0,EMERGENCY_EXIT,358.702392578125,组合亏损-25.1%，紧急去杠杆
2022-11-03,0,1.0,EMERGENCY_EXIT,355.0089111328125,组合亏损-25.9%，紧急去杠杆
2022-11-04,0,1.0,EMERGENCY_EXIT,360.1184997558594,组合亏损-24.8%，紧急去杠杆
2022-11-07,0,1.0,EMERGENCY_EXIT,363.56329345703125,组合亏损-24.1%，紧急去杠杆
2022-11-08,0,1.0,EMERGENCY_EXIT,365.52484130859375,组合亏损-23.7%，紧急去杠杆
2022-11-09,0,1.0,EMERGENCY_EXIT,357.9942932128906,组合亏损-25.2%，紧急去杠杆
2022-11-10,0,1.0,EMERGENCY_EXIT,377.6675720214844,组合亏损-21.1%，紧急去杠杆
2022-11-11,0,1.0,EMERGENCY_EXIT,381.3227844238281,组合亏损-20.4%，紧急去杠杆
2022-11-14,0,1.0,EMERGENCY_EXIT,378.0789489746094,组合亏损-21.0%，紧急去杠杆
2022-11-15,0,1.0,EMERGENCY_EXIT,381.30364990234375,组合亏损-20.4%，紧急去杠杆
2022-11-16,0,1.0,EMERGENCY_EXIT,378.3948059082031,组合亏损-21.0%，紧急去杠杆
2022-11-17,0,1.0,EMERGENCY_EXIT,377.2369689941406,组合亏损-21.2%，紧急去杠杆
2022-11-18,0,1.0,EMERGENCY_EXIT,378.9498291015625,组合亏损-20.9%，紧急去杠杆
2022-11-21,0,1.0,EMERGENCY_EXIT,377.5718688964844,组合亏损-21.1%，紧急去杠杆
2022-11-22,0,1.0,EMERGENCY_EXIT,382.6528625488281,组合亏损-20.1%，紧急去杠杆
2022-11-28,0,1.0,EMERGENCY_EXIT,378.8349304199219,组合亏损-20.9%，紧急去杠杆
2022-11-29,0,1.0,EMERGENCY_EXIT,378.1842956542969,组合亏损-21.0%，紧急去杠杆
2022-12-05,0,1.0,EMERGENCY_EXIT,382.3562316894531,组合亏损-20.1%，紧急去杠杆
2022-12-06,0,1.0,EMERGENCY_EXIT,376.84466552734375,组合亏损-21.3%，紧急去杠杆
2022-12-07,0,1.0,EMERGENCY_EXIT,376.20361328125,组合亏损-21.4%，紧急去杠杆
2022-12-08,0,1.0,EMERGENCY_EXIT,379.1507568359375,组合亏损-20.8%，紧急去杠杆
2022-12-09,0,1.0,EMERGENCY_EXIT,376.318359375,组合亏损-21.4%，紧急去杠杆
2022-12-12,0,1.0,EMERGENCY_EXIT,381.74383544921875,组合亏损-20.3%，紧急去杠杆
2022-12-14,0,1.0,EMERGENCY_EXIT,382.1744079589844,组合亏损-20.2%，紧急去杠杆
2022-12-15,0,1.0,EMERGENCY_EXIT,372.8258361816406,组合亏损-22.1%，紧急去杠杆
2022-12-16,0,1.0,EMERGENCY_EXIT,368.42413330078125,组合亏损-23.1%，紧急去杠杆
2022-12-19,0,1.0,EMERGENCY_EXIT,365.29998779296875,组合亏损-23.7%，紧急去杠杆
2022-12-20,0,1.0,EMERGENCY_EXIT,365.7999572753906,组合亏损-23.6%，紧急去杠杆
2022-12-21,0,1.0,EMERGENCY_EXIT,371.26947021484375,组合亏损-22.5%，紧急去杠杆
2022-12-22,0,1.0,EMERGENCY_EXIT,365.9729309082031,组合亏损-23.6%，紧急去杠杆
2022-12-23,0,1.0,EMERGENCY_EXIT,368.0780944824219,组合亏损-23.1%，紧急去杠杆
2022-12-27,0,1.0,EMERGENCY_EXIT,366.6266784667969,组合亏损-23.4%，紧急去杠杆
2022-12-28,0,1.0,EMERGENCY_EXIT,362.0702209472656,组合亏损-24.4%，紧急去杠杆
2022-12-29,0,1.0,EMERGENCY_EXIT,368.58758544921875,组合亏损-23.0%，紧急去杠杆
2022-12-30,0,1.0,EMERGENCY_EXIT,367.61669921875,组合亏损-23.2%，紧急去杠杆
2023-01-03,0,1.0,EMERGENCY_EXIT,366.069091796875,组合亏损-23.5%，紧急去杠杆
2023-01-04,0,1.0,EMERGENCY_EXIT,368.8951721191406,组合亏损-23.0%，紧急去杠杆
2023-01-05,0,1.0,EMERGENCY_EXIT,364.68487548828125,组合亏损-23.8%，紧急去杠杆
2023-01-06,0,1.0,EMERGENCY_EXIT,373.0478210449219,组合亏损-22.1%，紧急去杠杆
