date,action,reason,position,regime,close
2022-09-22,CIRCUIT_BREAKER,组合回撤 -17.3% 超过限制 15%,0.3,熊市,358.0804138183594
2022-09-23,CIRCUIT_BREAKER,组合回撤 -17.7% 超过限制 15%,0.3,熊市,352.080810546875
2022-09-26,CIRCUIT_BREAKER,组合回撤 -17.9% 超过限制 15%,0.3,熊市,348.5978088378906
2022-09-27,CIRCUIT_BREAKER,组合回撤 -18.0% 超过限制 15%,0.3,熊市,347.7078857421875
2022-09-28,CIRCUIT_BREAKER,组合回撤 -17.5% 超过限制 15%,0.3,熊市,354.5495300292969
2022-09-29,CIRCUIT_BREAKER,组合回撤 -18.0% 超过限制 15%,0.3,熊市,347.1434020996094
2022-09-30,CIRCUIT_BREAKER,组合回撤 -18.4% 超过限制 15%,0.3,熊市,341.7752990722656
2022-10-03,CIRCUIT_BREAKER,组合回撤 -17.8% 超过限制 15%,0.3,熊市,350.798583984375
2022-10-04,CIRCUIT_BREAKER,组合回撤 -17.0% 超过限制 15%,0.3,下行趋势,361.6686706542969
2022-10-05,CIRCUIT_BREAKER,组合回撤 -17.0% 超过限制 15%,0.3,熊市,360.82659912109375
2022-10-06,CIRCUIT_BREAKER,组合回撤 -17.3% 超过限制 15%,0.3,熊市,357.1044006347656
2022-10-07,CIRCUIT_BREAKER,组合回撤 -18.0% 超过限制 15%,0.3,熊市,347.1434020996094
2022-10-10,CIRCUIT_BREAKER,组合回撤 -18.2% 超过限制 15%,0.3,熊市,344.4928894042969
2022-10-11,CIRCUIT_BREAKER,组合回撤 -18.3% 超过限制 15%,0.3,熊市,342.3111877441406
2022-10-12,CIRCUIT_BREAKER,组合回撤 -18.4% 超过限制 15%,0.3,熊市,341.18206787109375
2022-10-13,CIRCUIT_BREAKER,组合回撤 -17.8% 超过限制 15%,0.3,熊市,350.1861877441406
2022-10-14,CIRCUIT_BREAKER,组合回撤 -18.3% 超过限制 15%,0.3,熊市,342.2059020996094
2022-10-17,CIRCUIT_BREAKER,组合回撤 -17.7% 超过限制 15%,0.3,熊市,350.99957275390625
2022-10-18,CIRCUIT_BREAKER,组合回撤 -17.4% 超过限制 15%,0.3,熊市,355.1236877441406
2022-10-19,CIRCUIT_BREAKER,组合回撤 -17.6% 超过限制 15%,0.3,熊市,352.607177734375
2022-10-20,CIRCUIT_BREAKER,组合回撤 -17.8% 超过限制 15%,0.3,熊市,349.6503601074219
