Ticker,FiscalPeriod,PeriodEndDate,ReportDate,EPS_Actual,EPS_Estimate,SurprisePct,GapPct,DayChange,SurpriseClass,ReactionClass,ExpectationLevel,ExpectationComment,SignalScore
WFC,2025 Q4,2025-12-31,2026-01-25,1.62,1.6882,-0.040397999999999996,0.0016099356025759035,0.012534498620055238,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0175
ASML,2025 Q4,2025-12-31,2026-01-25,7.34,7.7108,-0.048088,-0.0022821517018948865,0.0175012958590105,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,-0.0208
HD,2026 Q3,2025-12-31,2026-01-25,3.74,3.9535,-0.054002999999999995,0.0032050446882247656,0.007191807593089588,Miss,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0252
PYPL,2025 Q4,2025-12-31,2026-01-25,1.23,1.3103,-0.061284,-0.0008830801836806281,-0.000353232073472201,Miss,Neutral,Expectation Reasonable,市场预期与业绩匹配,-0.0308
SBUX,2026 Q1,2025-12-31,2026-01-25,0.56,0.5978,-0.063232,-0.004199959024790112,-0.013214505224339338,Miss,Neutral,Expectation Reasonable,市场预期与业绩匹配,-0.0347
SHOP,2025 Q4,2025-12-31,2026-01-25,0.48,0.5165,-0.070668,-0.008412502719559045,-0.011458408876640687,Miss,Neutral,Expectation Reasonable,市场预期与业绩匹配,-0.0385
COP,2025 Q4,2025-12-31,2026-01-25,1.02,1.1226,-0.091395,0.012201321809862765,0.001016776817488648,Miss,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0442
TMUS,2025 Q4,2025-12-31,2026-01-25,1.88,2.0992,-0.104421,0.005106703219910706,0.01037467075202928,Strong Miss,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0496
ABNB,2025 Q4,2025-12-31,2026-01-25,0.56,0.6702,-0.16442900000000002,0.002572833900870249,0.009383276579644197,Strong Miss,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0801
UBER,2025 Q4,2025-12-31,2026-01-25,0.14,0.8146,-0.828137,0.0004859676831489739,-0.0040092333859798115,Strong Miss,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.4148
BA,2025 Q4,2025-12-31,2026-01-25,-1.12,-0.4013,-1.7909289999999998,-0.002617489589530028,-0.014753123140987503,Strong Miss,Neutral,Expectation Reasonable,市场预期与业绩匹配,-0.8987
