date,WALCL,TGA,RRP,NetLiquidity,NetLiquidity_MoM,NetLiquidity_QoQ,NL_Percentile,NL_Volatility_30D,NL_MA20,NL_Trend
2025-11-19,6555283.0,941926.0,1.129,5613355.871,-8.28039048188126,-17.796531473571676,1.834862385321101,259498.96381955425,5945522.99635,下降
2025-11-26,6552419.0,903394.0,2.217,5649022.783,-7.594322621939808,-16.86859966623594,5.5045871559633035,268774.147270453,5910884.34915,下降
2025-12-03,6535781.0,937167.0,2.514,5598611.486,-8.624041768519298,-17.614692402391697,0.9174311926605505,279073.1872800696,5872673.47775,下降
2025-12-10,6539303.0,858946.0,5.045,5680351.955,-7.444805943284338,-16.236493476540648,7.339449541284404,284242.7460240754,5839973.6071,下降
2025-12-17,6556861.0,833093.0,10.361,5723757.639,-7.465038348009956,-15.462427709743887,12.844036697247708,285989.43892387423,5812565.713099999,下降
2025-12-24,6581231.0,837120.0,4.803,5744106.197,-7.440704251233788,-15.192088813929615,13.761467889908257,285740.57370655617,5788785.621250001,下降
2025-12-31,6640618.0,837306.0,105.993,5803206.007,-7.79442495907584,-13.44381417372944,19.26605504587156,280130.0470699342,5771983.2317,上升
2026-01-07,6573602.0,796148.0,4.582,5777449.418,-8.931117325470684,-13.536963450502459,14.678899082568808,271364.0598179451,5755913.40255,上升
2026-01-14,6581700.0,779175.0,3.223,5802521.777,-8.522143978447605,-13.011804925086834,18.34862385321101,260554.49209262768,5745371.9286,上升
2026-01-21,6584580.0,869261.0,3.344,5715315.656,-9.246334465909388,-15.111836027313942,11.926605504587156,252205.36281186095,5730910.70755,下降
2026-01-28,6587568.0,923042.0,1.103,5664524.897,-10.08468981316204,-14.284652180129488,6.422018348623854,243128.1502361298,5717454.0224,下降
2026-02-04,6605909.0,908773.0,2.414,5697133.586,-10.165293376690931,-11.816760000731108,9.174311926605505,227910.14734726524,5709700.34985,下降
2026-02-11,6622382.0,915306.0,1.048,5707074.952,-10.30601279498744,-11.447634726260103,11.009174311926607,207294.1382611755,5704878.6060500005,上升
2026-02-18,6613395.0,912727.0,0.856,5700667.144,-10.003903908446365,-12.31528349588884,10.091743119266056,184726.325000288,5700813.472200001,下降
