Key,Ticker,Date,Open,High,Low,Close,PrevClose,GapPct,IntradayPct,ReactionScore
AAPL|2025-12-02,AAPL,2025/12/2,283,287.4,282.6301,286.19,283.1,-0.000353232,0.011272085,0.004720773
AAPL|2025-12-03,AAPL,2025/12/3,286.2,288.62,283.3,284.15,286.19,3.49E-05,-0.007162823,0.002886094
AAPL|2025-12-04,AAPL,2025/12/4,284.095,284.73,278.59,280.7,284.15,-0.00019356,-0.011950228,0.004896227
AAPL|2025-12-05,AAPL,2025/12/5,280.54,281.14,278.05,278.78,280.7,-0.000570004,-0.006273615,0.002851448
AAPL|2025-12-08,AAPL,2025/12/8,278.13,279.6693,276.15,277.89,278.78,-0.002331588,-0.000862906,0.001744115
AAPL|2025-12-09,AAPL,2025/12/9,278.16,280.03,276.92,277.18,277.89,0.000971607,-0.003523152,0.001992225
AAPL|2025-12-10,AAPL,2025/12/10,277.75,279.75,276.44,278.78,277.18,0.002056425,0.003708371,0.002717204
AAPL|2025-12-11,AAPL,2025/12/11,279.095,279.59,273.81,278.03,278.78,0.001129923,-0.003815905,0.002204316
AAPL|2025-12-12,AAPL,2025/12/12,277.9,279.22,276.82,278.28,278.03,-0.000467575,0.001367398,0.000827505
AAPL|2025-12-15,AAPL,2025/12/15,280.15,280.15,272.84,274.11,278.28,0.006719851,-0.021559879,0.012655862
AAPL|2025-12-16,AAPL,2025/12/16,272.82,275.5,271.79,274.61,274.11,-0.00470614,0.006561103,0.005448125
AAPL|2025-12-17,AAPL,2025/12/17,275.01,276.16,271.64,271.84,274.61,0.001456611,-0.011526854,0.005484708
AAPL|2025-12-18,AAPL,2025/12/18,273.605,273.63,266.95,272.19,271.84,0.00649279,-0.005171689,0.00596435
AAPL|2025-12-19,AAPL,2025/12/19,272.145,274.6,269.9,273.67,272.19,-0.000165326,0.00560363,0.002340648
AAPL|2025-12-22,AAPL,2025/12/22,272.86,273.88,270.505,270.97,273.67,-0.002959769,-0.006926629,0.004546513
AAPL|2025-12-23,AAPL,2025/12/23,270.84,272.5,269.56,272.36,270.97,-0.000479758,0.00561217,0.002532723
AAPL|2025-12-24,AAPL,2025/12/24,272.34,275.43,272.195,273.81,272.36,-7.34E-05,0.005397665,0.002203125
AAPL|2025-12-26,AAPL,2025/12/26,274.16,275.37,272.86,273.4,273.81,0.001278259,-0.002772104,0.001875797
AAPL|2025-12-29,AAPL,2025/12/29,272.69,274.36,272.35,273.76,273.4,-0.002596928,0.00392387,0.003127704
AAPL|2025-12-30,AAPL,2025/12/30,272.81,274.08,272.28,273.08,273.76,-0.003470193,0.0009897,0.002477996
AAPL|2025-12-31,AAPL,2025/12/31,273.06,273.68,271.75,271.86,273.08,-7.32E-05,-0.004394639,0.001801799
AAPL|2026-01-02,AAPL,2026/1/2,272.255,277.84,269,271.01,271.86,0.001452954,-0.004572919,0.00270094
AAPL|2026-01-05,AAPL,2026/1/5,270.64,271.51,266.14,267.26,271.01,-0.001365263,-0.012488915,0.005814724
AAPL|2026-01-06,AAPL,2026/1/6,267,267.55,262.12,262.36,267.26,-0.000972835,-0.017378277,0.007535012
AAPL|2026-01-07,AAPL,2026/1/7,263.2,263.68,259.81,260.33,262.36,0.003201708,-0.010904255,0.006282727
AAPL|2026-01-08,AAPL,2026/1/8,257.02,259.29,255.7,259.04,260.33,-0.012714631,0.007859311,0.010772503
AAPL|2026-01-09,AAPL,2026/1/9,259.075,260.21,256.22,259.37,259.04,0.000135114,0.001138666,0.000536535
AAPL|2026-01-12,AAPL,2026/1/12,259.16,261.3,256.8,260.25,259.37,-0.000809654,0.004205896,0.002168151
AAPL|2026-01-13,AAPL,2026/1/13,258.72,261.81,258.39,261.05,260.25,-0.005878963,0.009005875,0.007129728
AAPL|2026-01-14,AAPL,2026/1/14,259.49,261.82,256.71,259.96,261.05,-0.005975867,0.001811245,0.004310018
AAPL|2026-01-15,AAPL,2026/1/15,260.65,261.04,257.05,258.21,259.96,0.002654255,-0.009361212,0.005337038
AAPL|2026-01-16,AAPL,2026/1/16,257.9,258.9,254.93,255.53,258.21,-0.001200573,-0.009189608,0.004396187
AAPL|2026-01-20,AAPL,2026/1/20,252.73,254.79,243.42,246.7,255.53,-0.010957618,-0.023859455,0.016118352
AAPL|2026-01-21,AAPL,2026/1/21,248.7,251.56,245.18,247.65,246.7,0.008107013,-0.004221954,0.006552989
AAPL|2026-01-22,AAPL,2026/1/22,249.2,251,248.15,248.35,247.65,0.006258833,-0.003410915,0.005119666
AAPL|2026-01-23,AAPL,2026/1/23,247.32,249.41,244.68,248.04,248.35,-0.004147373,0.002911208,0.003652907
AAPL|2026-01-26,AAPL,2026/1/26,251.48,256.56,249.8,255.41,248.04,0.013868731,0.015627485,0.014572233
AAPL|2026-01-27,AAPL,2026/1/27,259.17,261.95,258.21,258.27,255.41,0.014721428,-0.003472624,0.010221907
